Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as,Location
Rosh Chodesh Sh'vat,22/1/2042,,,,TRUE,Beginning of new Hebrew month of Sh'vat,3,Jewish Holidays
Tu BiShvat,5/2/2042,,,,TRUE,New Year for Trees,3,Jewish Holidays
Shabbat Shekalim,15/2/2042,,,,TRUE,Shabbat before Rosh Chodesh Adar,3,Jewish Holidays
Rosh Chodesh Adar,20/2/2042,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Rosh Chodesh Adar,21/2/2042,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Shabbat Zachor,1/3/2042,,,,TRUE,Shabbat before Purim,3,Jewish Holidays
Ta'anit Esther,5/3/2042,,,,TRUE,Fast of Esther,3,Jewish Holidays
Erev Purim,5/3/2042,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Purim,6/3/2042,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Shushan Purim,7/3/2042,,,,TRUE,Purim celebrated in Jerusalem and walled cities,3,Jewish Holidays
Shabbat Parah,15/3/2042,,,,TRUE,Shabbat of the Red Heifer,3,Jewish Holidays
Rosh Chodesh Nisan,22/3/2042,,,,TRUE,Beginning of new Hebrew month of Nisan,3,Jewish Holidays
Shabbat HaChodesh,22/3/2042,,,,TRUE,Shabbat before Rosh Chodesh Nissan,3,Jewish Holidays
Shabbat HaGadol,29/3/2042,,,,TRUE,Shabbat before Pesach,3,Jewish Holidays
Ta'anit Bechorot,4/4/2042,,,,TRUE,Fast of the First Born,3,Jewish Holidays
Erev Pesach,4/4/2042,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach I,5/4/2042,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach II,6/4/2042,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach III (CH''M),7/4/2042,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach IV (CH''M),8/4/2042,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach V (CH''M),9/4/2042,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach VI (CH''M),10/4/2042,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach VII,11/4/2042,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach VIII,12/4/2042,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Yom HaShoah,17/4/2042,,,,TRUE,Holocaust Memorial Day,3,Jewish Holidays
Rosh Chodesh Iyyar,20/4/2042,,,,TRUE,Beginning of new Hebrew month of Iyyar,3,Jewish Holidays
Rosh Chodesh Iyyar,21/4/2042,,,,TRUE,Beginning of new Hebrew month of Iyyar,3,Jewish Holidays
Yom HaZikaron,23/4/2042,,,,TRUE,Israeli Memorial Day,3,Jewish Holidays
Yom HaAtzma'ut,24/4/2042,,,,TRUE,Israeli Independence Day,3,Jewish Holidays
Pesach Sheni,4/5/2042,,,,TRUE,Second Passover; one month after Passover,3,Jewish Holidays
Lag BaOmer,8/5/2042,,,,TRUE,33rd day of counting the Omer,3,Jewish Holidays
Yom Yerushalayim,18/5/2042,,,,TRUE,Jerusalem Day,3,Jewish Holidays
Rosh Chodesh Sivan,20/5/2042,,,,TRUE,Beginning of new Hebrew month of Sivan,3,Jewish Holidays
Erev Shavuot,24/5/2042,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,3,Jewish Holidays
Shavuot I,25/5/2042,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,4,Jewish Holidays
Shavuot II,26/5/2042,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,4,Jewish Holidays
Rosh Chodesh Tamuz,18/6/2042,,,,TRUE,Beginning of new Hebrew month of Tamuz,3,Jewish Holidays
Rosh Chodesh Tamuz,19/6/2042,,,,TRUE,Beginning of new Hebrew month of Tamuz,3,Jewish Holidays
Tzom Tammuz,6/7/2042,,,,TRUE,Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple,3,Jewish Holidays
Rosh Chodesh Av,18/7/2042,,,,TRUE,Beginning of new Hebrew month of Av,3,Jewish Holidays
Shabbat Chazon,26/7/2042,,,,TRUE,Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision),3,Jewish Holidays
Erev Tish'a B'Av,26/7/2042,,,,TRUE,The Ninth of Av; fast commemorating the destruction of the two Temples,3,Jewish Holidays
Tish'a B'Av,27/7/2042,,,,TRUE,The Ninth of Av; fast commemorating the destruction of the two Temples,3,Jewish Holidays
Tu B'Av,1/8/2042,,,,TRUE,Jewish holiday of love; similar to Valentine's Day,3,Jewish Holidays
Shabbat Nachamu,2/8/2042,,,,TRUE,Shabbat after Tish'a B'Av (Shabbat of Consolation),3,Jewish Holidays
Rosh Chodesh Elul,16/8/2042,,,,TRUE,Beginning of new Hebrew month of Elul,3,Jewish Holidays
Rosh Chodesh Elul,17/8/2042,,,,TRUE,Beginning of new Hebrew month of Elul,3,Jewish Holidays
Leil Selichot,6/9/2042,,,,TRUE,Prayers for forgiveness in preparation for the High Holidays,3,Jewish Holidays
Erev Rosh Hashana,14/9/2042,,,,TRUE,The Jewish New Year,3,Jewish Holidays
Rosh Hashana 5803,15/9/2042,,,,TRUE,The Jewish New Year,4,Jewish Holidays
Rosh Hashana II,16/9/2042,,,,TRUE,The Jewish New Year,4,Jewish Holidays
Tzom Gedaliah,17/9/2042,,,,TRUE,Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah,3,Jewish Holidays
Shabbat Shuva,20/9/2042,,,,TRUE,Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning),3,Jewish Holidays
Erev Yom Kippur,23/9/2042,,,,TRUE,Day of Atonement,3,Jewish Holidays
Yom Kippur,24/9/2042,,,,TRUE,Day of Atonement,4,Jewish Holidays
Erev Sukkot,28/9/2042,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot I,29/9/2042,,,,TRUE,Feast of Tabernacles,4,Jewish Holidays
Sukkot II,30/9/2042,,,,TRUE,Feast of Tabernacles,4,Jewish Holidays
Sukkot III (CH''M),1/10/2042,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot IV (CH''M),2/10/2042,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot V (CH''M),3/10/2042,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot VI (CH''M),4/10/2042,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot VII (Hoshana Raba),5/10/2042,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Shmini Atzeret,6/10/2042,,,,TRUE,Eighth Day of Assembly,4,Jewish Holidays
Simchat Torah,7/10/2042,,,,TRUE,Day of Celebrating the Torah,4,Jewish Holidays
Rosh Chodesh Cheshvan,14/10/2042,,,,TRUE,Beginning of new Hebrew month of Cheshvan,3,Jewish Holidays
Rosh Chodesh Cheshvan,15/10/2042,,,,TRUE,Beginning of new Hebrew month of Cheshvan,3,Jewish Holidays
Yom HaAliyah,21/10/2042,,,,TRUE,Recognizes Aliyah; immigration to the Jewish State of Israel,3,Jewish Holidays
Sigd,12/11/2042,,,,TRUE,Ethiopian Jewish holiday occurring 50 days after Yom Kippur,3,Jewish Holidays
Rosh Chodesh Kislev,13/11/2042,,,,TRUE,Beginning of new Hebrew month of Kislev,3,Jewish Holidays
Rosh Chodesh Kislev,14/11/2042,,,,TRUE,Beginning of new Hebrew month of Kislev,3,Jewish Holidays
Chanukah: 1 Candle,7/12/2042,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 2 Candles,8/12/2042,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 3 Candles,9/12/2042,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 4 Candles,10/12/2042,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 5 Candles,11/12/2042,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 6 Candles,12/12/2042,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Rosh Chodesh Tevet,13/12/2042,,,,TRUE,Beginning of new Hebrew month of Tevet,3,Jewish Holidays
Chanukah: 7 Candles,13/12/2042,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Rosh Chodesh Tevet,14/12/2042,,,,TRUE,Beginning of new Hebrew month of Tevet,3,Jewish Holidays
Chanukah: 8 Candles,14/12/2042,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 8th Day,15/12/2042,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Asara B'Tevet,23/12/2042,,,,TRUE,Fast commemorating the siege of Jerusalem,3,Jewish Holidays
Rosh Chodesh Sh'vat,12/1/2043,,,,TRUE,Beginning of new Hebrew month of Sh'vat,3,Jewish Holidays
Tu BiShvat,26/1/2043,,,,TRUE,New Year for Trees,3,Jewish Holidays
Rosh Chodesh Adar I,10/2/2043,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Rosh Chodesh Adar I,11/2/2043,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Purim Katan,24/2/2043,,,,TRUE,Minor Purim celebration during Adar I on leap years,3,Jewish Holidays
Shabbat Shekalim,7/3/2043,,,,TRUE,Shabbat before Rosh Chodesh Adar,3,Jewish Holidays
Rosh Chodesh Adar II,12/3/2043,,,,TRUE,Beginning of new Hebrew month of Adar II (on leap years),3,Jewish Holidays
Rosh Chodesh Adar II,13/3/2043,,,,TRUE,Beginning of new Hebrew month of Adar II (on leap years),3,Jewish Holidays
Shabbat Zachor,21/3/2043,,,,TRUE,Shabbat before Purim,3,Jewish Holidays
Ta'anit Esther,25/3/2043,,,,TRUE,Fast of Esther,3,Jewish Holidays
Erev Purim,25/3/2043,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Purim,26/3/2043,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Shushan Purim,27/3/2043,,,,TRUE,Purim celebrated in Jerusalem and walled cities,3,Jewish Holidays
Shabbat Parah,4/4/2043,,,,TRUE,Shabbat of the Red Heifer,3,Jewish Holidays
Rosh Chodesh Nisan,11/4/2043,,,,TRUE,Beginning of new Hebrew month of Nisan,3,Jewish Holidays
Shabbat HaChodesh,11/4/2043,,,,TRUE,Shabbat before Rosh Chodesh Nissan,3,Jewish Holidays
Shabbat HaGadol,18/4/2043,,,,TRUE,Shabbat before Pesach,3,Jewish Holidays
Ta'anit Bechorot,24/4/2043,,,,TRUE,Fast of the First Born,3,Jewish Holidays
Erev Pesach,24/4/2043,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach I,25/4/2043,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach II,26/4/2043,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach III (CH''M),27/4/2043,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach IV (CH''M),28/4/2043,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach V (CH''M),29/4/2043,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach VI (CH''M),30/4/2043,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach VII,1/5/2043,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach VIII,2/5/2043,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Yom HaShoah,7/5/2043,,,,TRUE,Holocaust Memorial Day,3,Jewish Holidays
Rosh Chodesh Iyyar,10/5/2043,,,,TRUE,Beginning of new Hebrew month of Iyyar,3,Jewish Holidays
Rosh Chodesh Iyyar,11/5/2043,,,,TRUE,Beginning of new Hebrew month of Iyyar,3,Jewish Holidays
Yom HaZikaron,13/5/2043,,,,TRUE,Israeli Memorial Day,3,Jewish Holidays
Yom HaAtzma'ut,14/5/2043,,,,TRUE,Israeli Independence Day,3,Jewish Holidays
Pesach Sheni,24/5/2043,,,,TRUE,Second Passover; one month after Passover,3,Jewish Holidays
Lag BaOmer,28/5/2043,,,,TRUE,33rd day of counting the Omer,3,Jewish Holidays
Yom Yerushalayim,7/6/2043,,,,TRUE,Jerusalem Day,3,Jewish Holidays
Rosh Chodesh Sivan,9/6/2043,,,,TRUE,Beginning of new Hebrew month of Sivan,3,Jewish Holidays
Erev Shavuot,13/6/2043,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,3,Jewish Holidays
Shavuot I,14/6/2043,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,4,Jewish Holidays
Shavuot II,15/6/2043,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,4,Jewish Holidays
Rosh Chodesh Tamuz,8/7/2043,,,,TRUE,Beginning of new Hebrew month of Tamuz,3,Jewish Holidays
Rosh Chodesh Tamuz,9/7/2043,,,,TRUE,Beginning of new Hebrew month of Tamuz,3,Jewish Holidays
Tzom Tammuz,26/7/2043,,,,TRUE,Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple,3,Jewish Holidays
Rosh Chodesh Av,7/8/2043,,,,TRUE,Beginning of new Hebrew month of Av,3,Jewish Holidays
Shabbat Chazon,15/8/2043,,,,TRUE,Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision),3,Jewish Holidays
Erev Tish'a B'Av,15/8/2043,,,,TRUE,The Ninth of Av; fast commemorating the destruction of the two Temples,3,Jewish Holidays
Tish'a B'Av,16/8/2043,,,,TRUE,The Ninth of Av; fast commemorating the destruction of the two Temples,3,Jewish Holidays
Tu B'Av,21/8/2043,,,,TRUE,Jewish holiday of love; similar to Valentine's Day,3,Jewish Holidays
Shabbat Nachamu,22/8/2043,,,,TRUE,Shabbat after Tish'a B'Av (Shabbat of Consolation),3,Jewish Holidays
Rosh Chodesh Elul,5/9/2043,,,,TRUE,Beginning of new Hebrew month of Elul,3,Jewish Holidays
Rosh Chodesh Elul,6/9/2043,,,,TRUE,Beginning of new Hebrew month of Elul,3,Jewish Holidays
Leil Selichot,26/9/2043,,,,TRUE,Prayers for forgiveness in preparation for the High Holidays,3,Jewish Holidays
Erev Rosh Hashana,4/10/2043,,,,TRUE,The Jewish New Year,3,Jewish Holidays
Rosh Hashana 5804,5/10/2043,,,,TRUE,The Jewish New Year,4,Jewish Holidays
Rosh Hashana II,6/10/2043,,,,TRUE,The Jewish New Year,4,Jewish Holidays
Tzom Gedaliah,7/10/2043,,,,TRUE,Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah,3,Jewish Holidays
Shabbat Shuva,10/10/2043,,,,TRUE,Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning),3,Jewish Holidays
Erev Yom Kippur,13/10/2043,,,,TRUE,Day of Atonement,3,Jewish Holidays
Yom Kippur,14/10/2043,,,,TRUE,Day of Atonement,4,Jewish Holidays
Erev Sukkot,18/10/2043,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot I,19/10/2043,,,,TRUE,Feast of Tabernacles,4,Jewish Holidays
Sukkot II,20/10/2043,,,,TRUE,Feast of Tabernacles,4,Jewish Holidays
Sukkot III (CH''M),21/10/2043,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot IV (CH''M),22/10/2043,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot V (CH''M),23/10/2043,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot VI (CH''M),24/10/2043,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot VII (Hoshana Raba),25/10/2043,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Shmini Atzeret,26/10/2043,,,,TRUE,Eighth Day of Assembly,4,Jewish Holidays
Simchat Torah,27/10/2043,,,,TRUE,Day of Celebrating the Torah,4,Jewish Holidays
Rosh Chodesh Cheshvan,3/11/2043,,,,TRUE,Beginning of new Hebrew month of Cheshvan,3,Jewish Holidays
Rosh Chodesh Cheshvan,4/11/2043,,,,TRUE,Beginning of new Hebrew month of Cheshvan,3,Jewish Holidays
Yom HaAliyah,10/11/2043,,,,TRUE,Recognizes Aliyah; immigration to the Jewish State of Israel,3,Jewish Holidays
Sigd,2/12/2043,,,,TRUE,Ethiopian Jewish holiday occurring 50 days after Yom Kippur,3,Jewish Holidays
Rosh Chodesh Kislev,3/12/2043,,,,TRUE,Beginning of new Hebrew month of Kislev,3,Jewish Holidays
Chanukah: 1 Candle,26/12/2043,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 2 Candles,27/12/2043,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 3 Candles,28/12/2043,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 4 Candles,29/12/2043,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 5 Candles,30/12/2043,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 6 Candles,31/12/2043,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
